registroId,jugadorId,torneoId,tipoCompeticionId,modalidadId,categoriaId,fase,isLiguilla,isWin
1,4,133,12,2,5,Eliminacion Doble Ko,False,False
2,4,133,12,2,5,Eliminacion Doble Ko,False,True
3,4,133,12,2,5,Eliminacion Doble Ko,False,False
4,4,133,12,2,5,Eliminacion Doble Ko,False,True
5,4,133,12,2,5,Eliminacion Doble Ko,False,True
6,4,133,12,2,5,Eliminacion Doble Ko,False,True
7,4,133,25,2,5,Eliminacion Doble Ko,False,False
8,4,133,25,2,5,Eliminacion Doble Ko,False,True
9,4,133,25,2,5,Eliminacion Doble Ko,False,True
10,4,133,25,2,5,Eliminacion Doble Ko,False,True
11,4,133,25,2,5,Eliminacion Doble Ko,False,True
12,4,133,1,2,5,Eliminacion Directa,False,False
13,4,133,1,2,5,Eliminacion Directa,False,True
14,4,130,12,2,5,Eliminacion Doble Ko,False,True
15,4,130,12,2,5,Eliminacion Doble Ko,False,True
16,4,130,12,2,5,Eliminacion Doble Ko,False,True
17,4,130,12,2,5,Eliminacion Doble Ko,False,True
18,4,130,12,2,5,Eliminacion Doble Ko,False,True
19,4,130,12,2,5,Eliminacion Doble Ko,False,True
20,4,130,12,2,5,Eliminacion Doble Ko,False,False
21,4,130,1,2,5,Eliminacion Doble Ko,False,False
22,4,130,1,2,5,Eliminacion Doble Ko,False,True
23,4,130,1,2,5,Eliminacion Doble Ko,False,False
24,4,130,1,2,5,Eliminacion Doble Ko,False,True
25,4,130,1,2,5,Eliminacion Doble Ko,False,True
26,4,130,1,2,5,Eliminacion Doble Ko,False,True
27,4,128,12,2,5,Eliminacion Doble Ko,False,False
28,4,128,12,2,5,Eliminacion Doble Ko,False,True
29,4,128,12,2,5,Eliminacion Doble Ko,False,True
30,4,128,12,2,5,Eliminacion Doble Ko,False,True
31,4,128,12,2,5,Eliminacion Doble Ko,False,True
32,4,128,12,2,5,Eliminacion Doble Ko,False,False
33,4,128,1,2,5,Eliminacion Directa,False,False
34,4,128,1,2,5,Eliminacion Directa,False,True
35,4,126,12,2,5,Eliminacion Doble Ko,False,True
36,4,126,12,2,5,Eliminacion Doble Ko,False,True
37,4,126,12,2,5,Eliminacion Doble Ko,False,True
38,4,126,12,2,5,Eliminacion Doble Ko,False,True
39,4,126,1,2,5,Eliminacion Doble Ko,False,False
40,4,126,1,2,5,Eliminacion Doble Ko,False,True
41,4,126,1,2,5,Eliminacion Doble Ko,False,True
42,4,126,1,2,5,Eliminacion Doble Ko,False,True
43,4,126,1,2,5,Eliminacion Doble Ko,False,False
44,4,125,12,2,5,Eliminacion Doble Ko,False,False
45,4,125,12,2,5,Eliminacion Doble Ko,False,True
46,4,125,12,2,5,Eliminacion Doble Ko,False,True
47,4,125,12,2,5,Eliminacion Doble Ko,False,True
48,4,125,12,2,5,Eliminacion Doble Ko,False,False
49,4,125,12,2,5,Eliminacion Doble Ko,False,True
50,4,125,1,2,5,Eliminacion Directa,False,False
51,4,125,1,2,5,Eliminacion Directa,False,True
52,4,125,1,2,5,Eliminacion Directa,False,True
53,4,125,1,2,5,Eliminacion Directa,False,True
54,4,125,1,2,0,Liguilla,True,False
55,4,125,1,2,0,Liguilla,True,True
56,4,125,1,2,0,Liguilla,True,False
57,4,125,1,2,0,Liguilla,True,True
58,4,125,1,2,0,Liguilla,True,True
59,4,124,12,2,4,Eliminacion Doble Ko,False,False
