stylesheet,bytes_total,bytes_used,used_pct
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/14-tab-content.css?ver=0.7.3",1493,962,64.43
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/16-final-fixes.css?ver=0.7.3",2545,1883,73.99
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/26-maintenance.css?ver=0.7.3",501,0,0.00
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/90-compat-override.css?ver=0.7.3",10810,6911,63.93
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/19-player-profile-dynamic.css?ver=0.7.3",6383,2780,43.55
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/22-ranking-styles.css?ver=0.7.3",16351,8498,51.97
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/24-finals-reports.css?ver=0.7.3",6487,0,0.00
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/08-player-profile.css?ver=0.7.3",14756,8161,55.31
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/02-components.css?ver=0.7.3",4463,3427,76.79
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/09-h2h.css?ver=0.7.3",1731,0,0.00
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/01-variables.css?ver=0.7.3",1473,1253,85.06
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/18-ranking-controls.css?ver=0.7.3",1284,670,52.18
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/25-futbolin-tournaments.css?ver=0.7.3",7506,5112,68.11
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/20-ranking-category.css?ver=0.7.3",5386,1726,32.05
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/20-hitos-cards.css?ver=0.7.3",2072,1242,59.94
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/23-hall-of-fame-styles.css?ver=0.7.3",8977,4846,53.98
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/07-ranking-table.css?ver=0.7.3",9033,4400,48.71
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/11-ajax-search.css?ver=0.7.3",1588,623,39.23
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/17-loader.css?ver=0.7.3",5224,2675,51.21
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/12-h2h-integration.css?ver=0.7.3",1724,79,4.58
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/05-sidebar-forms.css?ver=0.7.3",1826,854,46.77
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/06-sidebar-menu.css?ver=0.7.3",1822,1468,80.57
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/04-header.css?ver=0.7.3",1670,1471,88.08
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/13-scrollbar.css?ver=0.7.3",748,0,0.00
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/03-layout.css?ver=0.7.3",1877,949,50.56
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/21-admin-styles.css?ver=0.7.3",4612,1257,27.25
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/10-pagination.css?ver=0.7.3",1370,680,49.64
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/15-futbolin-h2h.css?ver=0.7.3",2299,0,0.00
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/90-compat-override.css",10810,5364,49.62
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/18-ranking-controls.css",1284,670,52.18
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/04-header.css",1670,1471,88.08
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/12-h2h-integration.css",1724,0,0.00
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/23-hall-of-fame-styles.css",8977,5054,56.30
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/03-layout.css",1877,616,32.82
