stylesheet,selector,snippet
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/14-tab-content.css?ver=0.7.3","/* Contenedor de las ""píldoras"" de estadísticas en la pestaña Perfil */ #tab-general .player-career-stats","display: grid; grid-template-columns: repeat(auto-fit, minmax(150px, 1fr)); gap: 15px; padding-top: 10p"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/16-final-fixes.css?ver=0.7.3",".futbolin-backtotop:hover","filter: brightness(0.98);"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/16-final-fixes.css?ver=0.7.3",".futbolin-backtotop.is-visible","opacity:1; visibility:visible; transform:translateY(0);"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/16-final-fixes.css?ver=0.7.3",".futbolin-layout-container.with-sidebar .futbolin-main-content > .futbolin-card:first-of-type","margin-top:0 !important;"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/26-maintenance.css?ver=0.7.3",".futbolin-maint-card-front","margin: 12px 0; text-align: center; border: 2px dashed #d63638; background: #fff5f5; border-radius: 14px"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/26-maintenance.css?ver=0.7.3",".futbolin-maint-card-front h2","margin: 6px 0 8px 0; color: #b30000; font-weight: 800; letter-spacing: .2px;"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/26-maintenance.css?ver=0.7.3",".futbolin-maint-card-front p","margin: 0; color: #444; font-size: 16px;"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/26-maintenance.css?ver=0.7.3",".futbolin-maint-card-front .maint-emoji","font-size: 44px; line-height: 1; margin-bottom: 8px;"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/90-compat-override.css?ver=0.7.3","@media (max-width: 1024px)",".futbolin-layout-container.with-sidebar { grid-template-columns: 1fr !important; }"
"http://127.0.0.1/wp-content/plugins/ranking-futbolin/assets/css/90-compat-override.css?ver=0.7.3","/* 7) Sanitizar títulos/espacios que Astra suele alterar */ .ast-single-post .entry-title .futbolin-full-bleed-wrapper, .ast-page-builder-template .entry-title .futbolin-full-bleed-wrapper","margin-top: 0 !important;"
